LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC,WD
TripletLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.9925,0.706,
ContrastiveLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.9969,,
SoftmaxLoss,other,max,CD,2.0,0.0,32,10,0.0001,0.2,0.2,,0.9594,,
SoftmaxLoss,other,max,CD,2.0,0.0,32,10,0.0001,0.0,0.0,,0.9663,,
SoftmaxLoss,other,max,CD,5.0,0.0,32,10,1e-05,0.0,0.0,,0.9363,,
ContrastiveLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.8275,,
ContrastiveLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.8275,,
SoftmaxLoss,other,max,CD,5.0,0.0,32,10,1e-05,0.0,0.0,,0.5389,,
TripletLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.9925,,
ContrastiveLoss,other,max,,,,32,10,0.0001,0.2,0.2,2.0,0.9969,,
SoftmaxLoss,other,max,CD,5.0,0.0,32,10,1e-05,0.0,0.0,,0.9363,,
ContrastiveLoss,other,max,,,,32,10,0.001,0.2,0.2,2.0,0.9527,0.9239,
ContrastiveLoss,other,max,,,,32,10,1e-05,0.2,0.2,2.0,0.8557,0.9231,
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.1,0.2,2.0,0.9527,0.9231,
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,2.0,0.9478,0.9239,
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.3,2.0,0.9478,0.9239,
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.1,0.5,0.2,0.8433,0.9231,
ContrastiveLoss,Greaney,max,,,,32,20,1e-05,0.1,0.5,0.2,0.8383,0.9231,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.1,0.6,0.2,0.8184,0.9231,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.1,0.6,0.2,0.7867,0.9239,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.1,0.5,0.2,0.8748,0.9231,0.001
ContrastiveLoss,Greaney,max,,,,16,10,5e-05,0.1,0.6,0.2,0.5049,0.9231,0.001
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.2,0.6,0.2,0.8297,0.9231,0.0001
ContrastiveLoss,Greaney,max,,,,64,10,5e-05,0.2,0.6,0.2,0.7084,0.9231,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.6,0.2,0.7515,0.9231,0.001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.1,0.7,0.2,0.5988,0.9269,0.001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.9235,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.999,0.0001
ContrastiveLoss,Greaney,max,,,,32,20,0.0001,0.2,0.5,0.2,0.8728,0.9991,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.9235,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.999,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.999,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.816,0.999,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.8667,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.8667,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.8667,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.6707,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.6707,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.6707,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.8667,0.0001
ContrastiveLoss,Baum,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.8667,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8792,0.7301,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.5,0.2,0.8689,0.7153,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.2,0.3,0.2,0.9322,0.7183,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,5e-05,0.2,0.5,0.2,0.8953,0.6626,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.3,0.5,0.2,0.9116,0.7443,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.4,0.5,0.2,0.913,0.7239,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.3,0.5,0.5,0.9698,0.724,0.0001
ContrastiveLoss,Greaney,max,,,,32,10,0.0001,0.3,0.5,0.2,0.9116,0.7443,0.001
