LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.2,0.5475,0.886
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.0,0.2,0.6844,0.856
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.0,0.2,0.5506,0.8025
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.0,0.2,0.6619,0.8255
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.0,0.2,0.5356,0.8267
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.1,0.2,0.5331,0.858
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.1,0.2,0.4875,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,0.2,0.5256,0.8117
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.1,0.2,0.5413,0.7877
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.1,0.2,0.5337,0.6707
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.2,0.2,0.5325,0.8825
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.2,0.2,0.5262,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.2,0.2,0.5125,0.7578
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.2,0.2,0.5225,0.833
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.2,0.2,0.5169,0.672
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.5,0.2,0.545,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.5,0.2,0.4875,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,0.2,0.545,0.5072
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.5,0.2,0.5162,0.784
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.5,0.2,0.5344,0.8147
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.8,0.2,0.5713,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.8,0.2,0.5181,0.5032
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.8,0.2,0.5181,0.848
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.8,0.2,0.5181,0.8207
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.8,0.2,0.5275,0.8247
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.5,0.5694,0.8802
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.0,0.5,0.9881,0.7558
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.0,0.5,0.9975,0.856
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.0,0.5,0.9975,0.796
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.0,0.5,0.9919,0.799
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.1,0.5,0.5331,0.858
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.1,0.5,0.5887,0.8782
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,0.5,0.8225,0.7983
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.1,0.5,0.5975,0.6957
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.1,0.5,0.555,0.8632
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.2,0.5,0.5431,0.8825
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.2,0.5,0.7375,0.5115
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.2,0.5,0.8494,0.868
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.2,0.5,0.5369,0.7885
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.2,0.5,0.5725,0.7638
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.5,0.5,0.5406,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.5,0.5,0.4875,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,0.5,0.5206,0.5285
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.5,0.5,0.5369,0.7833
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.5,0.5,0.525,0.8007
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.8,0.5,0.5556,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.8,0.5,0.4875,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.8,0.5,0.5131,0.7692
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.8,0.5,0.5487,0.7125
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.8,0.5,0.5262,0.7967
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,1.0,0.5656,0.8662
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.0,1.0,0.9962,0.801
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.0,1.0,0.9969,0.7738
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.0,1.0,0.9969,0.7857
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.0,1.0,0.9969,0.7638
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.1,1.0,0.5763,0.858
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.1,1.0,0.9187,0.7615
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,1.0,0.9888,0.8822
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.1,1.0,0.9788,0.809
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.1,1.0,0.9894,0.778
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.2,1.0,0.5394,0.8825
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.2,1.0,0.9394,0.508
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.2,1.0,0.985,0.821
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.2,1.0,0.9906,0.7857
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.2,1.0,0.9825,0.833
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.5,1.0,0.5531,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.5,1.0,0.9087,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,1.0,0.9688,0.7117
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.5,1.0,0.5731,0.832
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.5,1.0,0.5531,0.7125
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.8,1.0,0.5975,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.8,1.0,0.4875,0.5
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.8,1.0,0.5194,0.777
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.8,1.0,0.5269,0.562
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.8,1.0,0.5437,0.8257
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,2.0,0.9962,0.8175
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.0,2.0,0.9975,0.831
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.0,2.0,0.9969,0.8393
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.0,2.0,0.995,0.8063
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.0,2.0,0.9956,0.7442
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.1,2.0,0.5737,0.858
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.1,2.0,0.9475,0.688
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,2.0,0.9881,0.7943
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.1,2.0,0.9975,0.775
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.1,2.0,0.9938,0.7827
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.2,2.0,0.545,0.8825
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.2,2.0,0.9875,0.8037
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.2,2.0,0.9925,0.8458
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.2,2.0,0.9919,0.769
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.2,2.0,0.9912,0.8037
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.5,2.0,0.5737,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.5,2.0,0.975,0.7812
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,2.0,0.9831,0.8968
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.5,2.0,0.9888,0.754
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.5,2.0,0.9906,0.7292
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.8,2.0,0.5694,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.8,2.0,0.5138,0.5005
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.8,2.0,0.8156,0.7628
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.8,2.0,0.54,0.8822
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.8,2.0,0.5363,0.8103
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.0,5.0,0.9919,0.829
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.0,5.0,0.9931,0.8125
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.0,5.0,0.9994,0.8125
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.0,5.0,0.9944,0.792
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.0,5.0,0.9981,0.7765
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.1,5.0,0.54,0.858
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.1,5.0,0.9975,0.7817
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.1,5.0,0.9956,0.7648
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.1,5.0,0.9969,0.7665
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.1,5.0,0.9956,0.7987
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.2,5.0,0.5587,0.8602
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.2,5.0,0.9931,0.8495
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.2,5.0,0.9969,0.792
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.2,5.0,0.9962,0.799
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.2,5.0,0.9956,0.853
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.5,5.0,0.5475,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.5,5.0,0.9969,0.7672
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.5,5.0,0.9919,0.829
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.5,5.0,0.9938,0.7592
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.5,5.0,0.9975,0.7795
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.0,0.8,5.0,0.5563,0.8922
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.1,0.8,5.0,0.9725,0.7815
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.2,0.8,5.0,0.945,0.775
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,0.5,0.8,5.0,0.9869,0.7863
OnlineContrastiveLoss,delta,max,,,,32,10,0.001,1.0,0.8,5.0,0.7344,0.7592
