LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.0,0.2,0.995,0.801
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.0,0.2,0.9962,0.7815
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.0,0.2,0.9988,0.8655
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.0,0.2,0.9962,0.913
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.0,0.2,0.9988,0.7715
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.1,0.2,0.9975,0.7955
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.1,0.2,0.9938,0.834
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.1,0.2,0.9988,0.8005
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.1,0.2,0.995,0.848
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.1,0.2,0.9962,0.832
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.2,0.2,0.9975,0.8635
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.2,0.2,0.9975,0.894
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.2,0.2,0.9975,0.9195
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.2,0.2,0.9962,0.795
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.2,0.2,0.9938,0.815
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.5,0.2,0.995,0.7855
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.5,0.2,0.9975,0.7845
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.5,0.2,0.9988,0.763
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.5,0.2,0.995,0.837
TripletLoss,delta,max,,,,32,10,0.001,1.0,0.5,0.2,0.99,0.7925
TripletLoss,delta,max,,,,32,10,0.001,0.0,0.8,0.2,0.9962,0.814
TripletLoss,delta,max,,,,32,10,0.001,0.1,0.8,0.2,0.6913,0.3845
TripletLoss,delta,max,,,,32,10,0.001,0.2,0.8,0.2,0.99,0.8645
TripletLoss,delta,max,,,,32,10,0.001,0.5,0.8,0.2,0.985,0.8615
