LOSS_NAME,NEG_SET,POOLING_MODE,CONCAT,NUM_LABELS,CONF_THRESHOLD,BATCH_SIZE,EPOCHS,LR,RELU,DROPOUT,MARGIN,MAX_TEST_ACC,MAX_ZERO_ACC
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,0.2,0.565,0.8812
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.8,0.2,0.5794,0.9028
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,0.5,0.565,0.879
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.8,0.5,0.5794,0.9028
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,1.0,0.565,0.879
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.8,1.0,0.5794,0.9028
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,2.0,0.565,0.879
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.2,0.5,2.0,0.9656,0.642
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.8,2.0,0.5794,0.9028
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.5,5.0,0.565,0.879
OnlineContrastiveLoss,other,max,,,,32,10,0.001,0.0,0.8,5.0,0.5794,0.9028
